data_year,income_year,ipums_match,cpi,target_year
1993,1992 dollars,1992,1.187,1999 dollars
1994,1993 dollars,1993,1.153,1999 dollars
1995,1994 dollars,1994,1.124,1999 dollars
1996,1995 dollars,1995,1.093,1999 dollars
1997,1996 dollars,1996,1.062,1999 dollars
1998,1997 dollars,1997,1.038,1999 dollars
1999,1998 dollars,1998,1.022,1999 dollars
2000,1999 dollars,1999,1,1999 dollars
2001,2000 dollars,2000,0.967,1999 dollars
2002,2001 dollars,2001,0.941,1999 dollars
2003,2002 dollars,2002,0.926,1999 dollars
2004,2003 dollars,2003,0.905,1999 dollars
2005,2004 dollars,2004,0.882,1999 dollars
2006,2005 dollars,2005,0.853,1999 dollars
2007,2006 dollars,2006,0.826,1999 dollars
2008,2007 dollars,2007,0.804,1999 dollars
2009,2008 dollars,2008,0.774,1999 dollars
2010,2009 dollars,2009,0.777,1999 dollars
2011,2010 dollars,2010,0.764,1999 dollars
2012,2011 dollars,2011,0.741,1999 dollars
2013,2012 dollars,2012,0.726,1999 dollars
2014,2013 dollars,2013,0.715,1999 dollars
2015,2014 dollars,2014,0.704,1999 dollars
2016,2015 dollars,2015,0.703,1999 dollars
2017,2016 dollars,2016,0.694,1999 dollars
2018,2017 dollars,2017,0.679,1999 dollars
2019,2018 dollars,2018,0.663,1999 dollars
2020,2019 dollars,2019,0.652,1999 dollars